Set CUDA current device to: 1 (should be 1)
/workspace/compute-aware-arch-search/distill_videet.py:41: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `DistillationTrainer.__init__`. Use `processing_class` instead.
  super().__init__(*args, **kwargs)
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None, 'pad_token_id': 151643}.
  0%|                                                                                                                         | 0/10000 [00:00<?, ?it/s]/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                        
{'loss': 84.0796, 'grad_norm': 9627.380859375, 'learning_rate': 0.0, 'ce_loss': 12.648624420166016, 'kl_loss': 8.199453353881836, 'epoch': 0.0}
{'loss': 28.4631, 'grad_norm': 1630.1136474609375, 'learning_rate': 1e-05, 'ce_loss': 1.4152727127075195, 'kl_loss': 7.051214694976807, 'epoch': 0.0}
{'loss': 21.0558, 'grad_norm': 758.09619140625, 'learning_rate': 1.025e-05, 'ce_loss': 0.842350959777832, 'kl_loss': 4.058727264404297, 'epoch': 0.0}
{'loss': 20.8428, 'grad_norm': 672.7420654296875, 'learning_rate': 1.05e-05, 'ce_loss': 0.923000693321228, 'kl_loss': 3.6117780208587646, 'epoch': 0.0}
{'loss': 22.9826, 'grad_norm': 537.2564697265625, 'learning_rate': 1.075e-05, 'ce_loss': 0.7865365147590637, 'kl_loss': 2.8830082416534424, 'epoch': 0.0}
{'loss': 22.3678, 'grad_norm': 15654.8505859375, 'learning_rate': 1.1000000000000001e-05, 'ce_loss': 0.8541860580444336, 'kl_loss': 5.106768608093262, 'epoch': 0.0}
{'loss': 24.7864, 'grad_norm': 699.1446533203125, 'learning_rate': 1.125e-05, 'ce_loss': 0.8483456969261169, 'kl_loss': 4.693568706512451, 'epoch': 0.0}
{'loss': 23.0401, 'grad_norm': 400.2117004394531, 'learning_rate': 1.1500000000000002e-05, 'ce_loss': 0.6525160074234009, 'kl_loss': 5.712223529815674, 'epoch': 0.0}
{'loss': 17.4133, 'grad_norm': 228.75083923339844, 'learning_rate': 1.175e-05, 'ce_loss': 0.6127429604530334, 'kl_loss': 3.2293224334716797, 'epoch': 0.0}
{'loss': 22.1442, 'grad_norm': 550.138916015625, 'learning_rate': 1.2e-05, 'ce_loss': 0.6015796661376953, 'kl_loss': 3.155416965484619, 'epoch': 0.0}
{'loss': 18.8856, 'grad_norm': 520.599609375, 'learning_rate': 1.225e-05, 'ce_loss': 0.6516492366790771, 'kl_loss': 2.7443039417266846, 'epoch': 0.01}
{'loss': 15.9817, 'grad_norm': 536.1453857421875, 'learning_rate': 1.25e-05, 'ce_loss': 0.3621198832988739, 'kl_loss': 2.746701717376709, 'epoch': 0.01}
{'loss': 18.8511, 'grad_norm': 647.9691772460938, 'learning_rate': 1.2750000000000002e-05, 'ce_loss': 0.4081290662288666, 'kl_loss': 2.9757285118103027, 'epoch': 0.01}
{'loss': 17.0795, 'grad_norm': 186.99270629882812, 'learning_rate': 1.3000000000000001e-05, 'ce_loss': 0.22188793122768402, 'kl_loss': 3.094184398651123, 'epoch': 0.01}
{'loss': 18.796, 'grad_norm': 531.8272094726562, 'learning_rate': 1.3250000000000002e-05, 'ce_loss': 0.3923659026622772, 'kl_loss': 3.0974738597869873, 'epoch': 0.01}
{'loss': 17.0291, 'grad_norm': 145.4538116455078, 'learning_rate': 1.3500000000000001e-05, 'ce_loss': 0.864937424659729, 'kl_loss': 3.221126079559326, 'epoch': 0.01}
{'loss': 19.0164, 'grad_norm': 347.5443420410156, 'learning_rate': 1.3750000000000002e-05, 'ce_loss': 0.29502880573272705, 'kl_loss': 3.697206497192383, 'epoch': 0.01}
{'loss': 19.1692, 'grad_norm': 78.36656188964844, 'learning_rate': 1.4000000000000001e-05, 'ce_loss': 0.3740428388118744, 'kl_loss': 4.965767860412598, 'epoch': 0.01}
{'loss': 15.2194, 'grad_norm': 121.18707275390625, 'learning_rate': 1.4249999999999999e-05, 'ce_loss': 0.3830484449863434, 'kl_loss': 2.744346857070923, 'epoch': 0.01}
{'loss': 15.9926, 'grad_norm': 2427.6103515625, 'learning_rate': 1.45e-05, 'ce_loss': 0.7320596575737, 'kl_loss': 3.2174072265625, 'epoch': 0.01}
{'loss': 14.8426, 'grad_norm': 269.3476257324219, 'learning_rate': 1.475e-05, 'ce_loss': 0.5135425925254822, 'kl_loss': 2.8167366981506348, 'epoch': 0.01}
{'loss': 17.2222, 'grad_norm': 353.2528381347656, 'learning_rate': 1.5e-05, 'ce_loss': 0.4552237093448639, 'kl_loss': 3.489950180053711, 'epoch': 0.01}
{'loss': 15.4796, 'grad_norm': 593.6312255859375, 'learning_rate': 1.525e-05, 'ce_loss': 0.2715466618537903, 'kl_loss': 2.8508312702178955, 'epoch': 0.01}
{'loss': 15.4955, 'grad_norm': 4843.95263671875, 'learning_rate': 1.55e-05, 'ce_loss': 0.389078289270401, 'kl_loss': 3.8229360580444336, 'epoch': 0.01}
{'loss': 15.2189, 'grad_norm': 181.85366821289062, 'learning_rate': 1.575e-05, 'ce_loss': 0.2375248223543167, 'kl_loss': 3.043123722076416, 'epoch': 0.01}
{'loss': 13.7031, 'grad_norm': 214.20968627929688, 'learning_rate': 1.6000000000000003e-05, 'ce_loss': 0.26440468430519104, 'kl_loss': 2.5950303077697754, 'epoch': 0.01}
{'loss': 18.38, 'grad_norm': 69.87238311767578, 'learning_rate': 1.6250000000000002e-05, 'ce_loss': 0.49651917815208435, 'kl_loss': 6.855717182159424, 'epoch': 0.01}
{'loss': 17.5065, 'grad_norm': 58.88148498535156, 'learning_rate': 1.65e-05, 'ce_loss': 0.272190123796463, 'kl_loss': 3.0710060596466064, 'epoch': 0.01}
{'loss': 17.9264, 'grad_norm': 322.8025817871094, 'learning_rate': 1.675e-05, 'ce_loss': 0.3501225411891937, 'kl_loss': 2.9108593463897705, 'epoch': 0.01}
{'loss': 14.3247, 'grad_norm': 632.3016357421875, 'learning_rate': 1.7000000000000003e-05, 'ce_loss': 0.22148415446281433, 'kl_loss': 3.399752616882324, 'epoch': 0.01}
{'loss': 15.5209, 'grad_norm': 81.1482162475586, 'learning_rate': 1.725e-05, 'ce_loss': 0.4260113537311554, 'kl_loss': 3.3759570121765137, 'epoch': 0.01}
{'loss': 14.3106, 'grad_norm': 130.534912109375, 'learning_rate': 1.75e-05, 'ce_loss': 0.45090413093566895, 'kl_loss': 3.804704427719116, 'epoch': 0.01}
{'loss': 17.3819, 'grad_norm': 1270.0191650390625, 'learning_rate': 1.775e-05, 'ce_loss': 0.32655173540115356, 'kl_loss': 3.52349853515625, 'epoch': 0.01}
{'loss': 14.6411, 'grad_norm': 85.58104705810547, 'learning_rate': 1.8e-05, 'ce_loss': 0.35014480352401733, 'kl_loss': 3.327549695968628, 'epoch': 0.01}
{'loss': 14.5975, 'grad_norm': 245.43753051757812, 'learning_rate': 1.825e-05, 'ce_loss': 0.4782823324203491, 'kl_loss': 2.843616247177124, 'epoch': 0.01}
{'loss': 16.3643, 'grad_norm': 321.4084777832031, 'learning_rate': 1.85e-05, 'ce_loss': 0.19916582107543945, 'kl_loss': 2.4539546966552734, 'epoch': 0.01}
{'loss': 16.0682, 'grad_norm': 416.634521484375, 'learning_rate': 1.8750000000000002e-05, 'ce_loss': 0.2532154321670532, 'kl_loss': 2.585332155227661, 'epoch': 0.01}
{'loss': 13.3082, 'grad_norm': 97.52120208740234, 'learning_rate': 1.9e-05, 'ce_loss': 0.18609550595283508, 'kl_loss': 3.059360980987549, 'epoch': 0.01}
{'loss': 14.2582, 'grad_norm': 161.57826232910156, 'learning_rate': 1.925e-05, 'ce_loss': 0.21862894296646118, 'kl_loss': 3.0880157947540283, 'epoch': 0.01}
{'loss': 15.2421, 'grad_norm': 91.6409683227539, 'learning_rate': 1.9500000000000003e-05, 'ce_loss': 0.27830058336257935, 'kl_loss': 2.6219301223754883, 'epoch': 0.01}
{'loss': 12.4393, 'grad_norm': 285.58026123046875, 'learning_rate': 1.9750000000000002e-05, 'ce_loss': 0.31075048446655273, 'kl_loss': 3.4648048877716064, 'epoch': 0.01}
{'loss': 13.642, 'grad_norm': 231.2692108154297, 'learning_rate': 2e-05, 'ce_loss': 0.3239316940307617, 'kl_loss': 4.913022994995117, 'epoch': 0.01}
{'loss': 12.2786, 'grad_norm': 69.08208465576172, 'learning_rate': 2.025e-05, 'ce_loss': 0.33052507042884827, 'kl_loss': 3.7509055137634277, 'epoch': 0.01}
{'loss': 12.2993, 'grad_norm': 388.36279296875, 'learning_rate': 2.05e-05, 'ce_loss': 0.17585143446922302, 'kl_loss': 2.651630401611328, 'epoch': 0.01}
{'loss': 12.3289, 'grad_norm': 45.3543586730957, 'learning_rate': 2.075e-05, 'ce_loss': 0.2377336174249649, 'kl_loss': 4.45718240737915, 'epoch': 0.01}
{'loss': 13.6942, 'grad_norm': 395.4767150878906, 'learning_rate': 2.1e-05, 'ce_loss': 0.24543404579162598, 'kl_loss': 4.130895614624023, 'epoch': 0.01}
{'loss': 14.1603, 'grad_norm': 244.40411376953125, 'learning_rate': 2.125e-05, 'ce_loss': 0.24773003160953522, 'kl_loss': 3.5080044269561768, 'epoch': 0.01}
{'loss': 12.4301, 'grad_norm': 64.17549133300781, 'learning_rate': 2.15e-05, 'ce_loss': 0.23233716189861298, 'kl_loss': 2.683997869491577, 'epoch': 0.01}
{'loss': 13.5346, 'grad_norm': 83.89349365234375, 'learning_rate': 2.175e-05, 'ce_loss': 0.4891403615474701, 'kl_loss': 3.7369115352630615, 'epoch': 0.01}
{'loss': 11.7014, 'grad_norm': 52.508628845214844, 'learning_rate': 2.2000000000000003e-05, 'ce_loss': 0.24350327253341675, 'kl_loss': 2.4338600635528564, 'epoch': 0.01}
{'loss': 11.9328, 'grad_norm': 256.2693786621094, 'learning_rate': 2.2250000000000002e-05, 'ce_loss': 0.22635836899280548, 'kl_loss': 3.784773826599121, 'epoch': 0.01}
{'loss': 12.3857, 'grad_norm': 54.57282257080078, 'learning_rate': 2.25e-05, 'ce_loss': 0.15882214903831482, 'kl_loss': 3.2691750526428223, 'epoch': 0.01}
{'loss': 15.2193, 'grad_norm': 171.20506286621094, 'learning_rate': 2.275e-05, 'ce_loss': 0.1960620880126953, 'kl_loss': 2.0426278114318848, 'epoch': 0.01}
{'loss': 14.3376, 'grad_norm': 210.01641845703125, 'learning_rate': 2.3000000000000003e-05, 'ce_loss': 0.15955351293087006, 'kl_loss': 4.417760372161865, 'epoch': 0.01}
{'loss': 12.6164, 'grad_norm': 35.12247848510742, 'learning_rate': 2.3250000000000003e-05, 'ce_loss': 0.17151829600334167, 'kl_loss': 3.3861794471740723, 'epoch': 0.01}
{'loss': 12.0389, 'grad_norm': 42.055110931396484, 'learning_rate': 2.35e-05, 'ce_loss': 0.18022003769874573, 'kl_loss': 2.104612350463867, 'epoch': 0.01}
{'loss': 11.8458, 'grad_norm': 35.56611251831055, 'learning_rate': 2.375e-05, 'ce_loss': 0.22197766602039337, 'kl_loss': 2.1424803733825684, 'epoch': 0.01}
{'loss': 11.8141, 'grad_norm': 30.481481552124023, 'learning_rate': 2.4e-05, 'ce_loss': 0.24277262389659882, 'kl_loss': 2.4759602546691895, 'epoch': 0.01}
{'loss': 12.4661, 'grad_norm': 91.16312408447266, 'learning_rate': 2.425e-05, 'ce_loss': 0.31164801120758057, 'kl_loss': 2.8822786808013916, 'epoch': 0.01}
{'loss': 14.8403, 'grad_norm': 77.53447723388672, 'learning_rate': 2.45e-05, 'ce_loss': 0.20352798700332642, 'kl_loss': 3.1409783363342285, 'epoch': 0.01}
{'loss': 16.0175, 'grad_norm': 130.59202575683594, 'learning_rate': 2.4750000000000002e-05, 'ce_loss': 0.23456352949142456, 'kl_loss': 2.8294425010681152, 'epoch': 0.01}
{'loss': 14.4152, 'grad_norm': 53.99517059326172, 'learning_rate': 2.5e-05, 'ce_loss': 0.5472630262374878, 'kl_loss': 6.580552101135254, 'epoch': 0.01}
{'loss': 12.3142, 'grad_norm': 32.545570373535156, 'learning_rate': 2.525e-05, 'ce_loss': 0.1863296777009964, 'kl_loss': 2.844311237335205, 'epoch': 0.01}
{'loss': 11.251, 'grad_norm': 76.54301452636719, 'learning_rate': 2.5500000000000003e-05, 'ce_loss': 0.22418637573719025, 'kl_loss': 1.6213268041610718, 'epoch': 0.01}
{'loss': 10.6705, 'grad_norm': 38.485809326171875, 'learning_rate': 2.5750000000000002e-05, 'ce_loss': 0.2343934029340744, 'kl_loss': 3.721205711364746, 'epoch': 0.01}
{'loss': 12.0727, 'grad_norm': 158.597412109375, 'learning_rate': 2.6000000000000002e-05, 'ce_loss': 0.29437023401260376, 'kl_loss': 3.1877992153167725, 'epoch': 0.01}
{'loss': 13.3521, 'grad_norm': 49.95565414428711, 'learning_rate': 2.625e-05, 'ce_loss': 0.1380518078804016, 'kl_loss': 1.989638328552246, 'epoch': 0.01}
{'loss': 13.4957, 'grad_norm': 83.58149719238281, 'learning_rate': 2.6500000000000004e-05, 'ce_loss': 0.15522153675556183, 'kl_loss': 2.633910655975342, 'epoch': 0.01}
{'loss': 13.2908, 'grad_norm': 73.01866912841797, 'learning_rate': 2.6750000000000003e-05, 'ce_loss': 0.213592991232872, 'kl_loss': 3.0090384483337402, 'epoch': 0.01}
{'loss': 12.9234, 'grad_norm': 97.385498046875, 'learning_rate': 2.7000000000000002e-05, 'ce_loss': 0.1752520203590393, 'kl_loss': 2.9098334312438965, 'epoch': 0.01}
{'loss': 14.3916, 'grad_norm': 104.32806396484375, 'learning_rate': 2.725e-05, 'ce_loss': 0.19689592719078064, 'kl_loss': 3.228728771209717, 'epoch': 0.01}
{'loss': 11.8599, 'grad_norm': 47.78226852416992, 'learning_rate': 2.7500000000000004e-05, 'ce_loss': 0.43209266662597656, 'kl_loss': 3.281982898712158, 'epoch': 0.01}
{'loss': 13.0188, 'grad_norm': 127.8719253540039, 'learning_rate': 2.7750000000000004e-05, 'ce_loss': 0.31144171953201294, 'kl_loss': 3.3562238216400146, 'epoch': 0.01}
{'loss': 15.8872, 'grad_norm': 65.57125854492188, 'learning_rate': 2.8000000000000003e-05, 'ce_loss': 0.1144871935248375, 'kl_loss': 2.3732168674468994, 'epoch': 0.01}
{'loss': 10.1083, 'grad_norm': 26.105560302734375, 'learning_rate': 2.825e-05, 'ce_loss': 0.1439683735370636, 'kl_loss': 1.7455980777740479, 'epoch': 0.01}
{'loss': 12.9105, 'grad_norm': 73.0989990234375, 'learning_rate': 2.8499999999999998e-05, 'ce_loss': 0.2919900119304657, 'kl_loss': 2.9997076988220215, 'epoch': 0.01}
{'loss': 11.1291, 'grad_norm': 70.14423370361328, 'learning_rate': 2.8749999999999997e-05, 'ce_loss': 0.2936956584453583, 'kl_loss': 1.8812034130096436, 'epoch': 0.01}
{'loss': 15.7641, 'grad_norm': 72.3760986328125, 'learning_rate': 2.9e-05, 'ce_loss': 0.14153927564620972, 'kl_loss': 2.3935089111328125, 'epoch': 0.01}
{'loss': 10.899, 'grad_norm': 278.31719970703125, 'learning_rate': 2.925e-05, 'ce_loss': 0.2951633334159851, 'kl_loss': 2.6524345874786377, 'epoch': 0.01}
{'loss': 11.4215, 'grad_norm': 110.55238342285156, 'learning_rate': 2.95e-05, 'ce_loss': 0.15706442296504974, 'kl_loss': 2.241403102874756, 'epoch': 0.01}
{'loss': 13.2428, 'grad_norm': 55.85165023803711, 'learning_rate': 2.975e-05, 'ce_loss': 0.12461972236633301, 'kl_loss': 2.708618640899658, 'epoch': 0.01}
{'loss': 16.9939, 'grad_norm': 83.4892349243164, 'learning_rate': 3e-05, 'ce_loss': 0.1458931416273117, 'kl_loss': 2.722788095474243, 'epoch': 0.01}
{'loss': 12.2569, 'grad_norm': 49.54779815673828, 'learning_rate': 3.025e-05, 'ce_loss': 0.18911217153072357, 'kl_loss': 2.890105724334717, 'epoch': 0.01}
{'loss': 12.2724, 'grad_norm': 82.29851531982422, 'learning_rate': 3.05e-05, 'ce_loss': 0.22723916172981262, 'kl_loss': 2.2159597873687744, 'epoch': 0.01}
{'loss': 11.3985, 'grad_norm': 38.61393737792969, 'learning_rate': 3.075e-05, 'ce_loss': 0.1638294756412506, 'kl_loss': 2.396193742752075, 'epoch': 0.01}
{'loss': 12.4199, 'grad_norm': 23.306135177612305, 'learning_rate': 3.1e-05, 'ce_loss': 0.33809396624565125, 'kl_loss': 3.230376720428467, 'epoch': 0.01}
{'loss': 10.8235, 'grad_norm': 78.36480712890625, 'learning_rate': 3.125e-05, 'ce_loss': 0.14247764647006989, 'kl_loss': 3.849616765975952, 'epoch': 0.01}
{'loss': 13.6058, 'grad_norm': 83.15470123291016, 'learning_rate': 3.15e-05, 'ce_loss': 0.16547657549381256, 'kl_loss': 2.349252223968506, 'epoch': 0.01}
{'loss': 9.7683, 'grad_norm': 49.4196662902832, 'learning_rate': 3.175e-05, 'ce_loss': 0.15169557929039001, 'kl_loss': 2.2375314235687256, 'epoch': 0.01}
{'loss': 10.9115, 'grad_norm': 97.67945861816406, 'learning_rate': 3.2000000000000005e-05, 'ce_loss': 0.1956917643547058, 'kl_loss': 2.0083000659942627, 'epoch': 0.01}
{'loss': 12.141, 'grad_norm': 299.7306823730469, 'learning_rate': 3.2250000000000005e-05, 'ce_loss': 0.13417679071426392, 'kl_loss': 1.859562635421753, 'epoch': 0.01}
{'loss': 11.6181, 'grad_norm': 27.68734359741211, 'learning_rate': 3.2500000000000004e-05, 'ce_loss': 0.18414631485939026, 'kl_loss': 2.891235828399658, 'epoch': 0.01}
{'loss': 11.6898, 'grad_norm': 74.19197845458984, 'learning_rate': 3.275e-05, 'ce_loss': 0.22575801610946655, 'kl_loss': 4.166886329650879, 'epoch': 0.01}
{'loss': 11.0493, 'grad_norm': 33.006019592285156, 'learning_rate': 3.3e-05, 'ce_loss': 0.4477178156375885, 'kl_loss': 3.3551652431488037, 'epoch': 0.01}
{'loss': 12.006, 'grad_norm': 50.331729888916016, 'learning_rate': 3.325e-05, 'ce_loss': 0.16436320543289185, 'kl_loss': 3.9609010219573975, 'epoch': 0.01}
{'loss': 12.4085, 'grad_norm': 20.936832427978516, 'learning_rate': 3.35e-05, 'ce_loss': 0.20274868607521057, 'kl_loss': 2.2806599140167236, 'epoch': 0.01}
{'loss': 11.3027, 'grad_norm': 20.527978897094727, 'learning_rate': 3.375000000000001e-05, 'ce_loss': 0.20105218887329102, 'kl_loss': 2.246673583984375, 'epoch': 0.01}
{'loss': 12.7574, 'grad_norm': 90.39344024658203, 'learning_rate': 3.4000000000000007e-05, 'ce_loss': 0.19072122871875763, 'kl_loss': 1.954803705215454, 'epoch': 0.01}
{'loss': 9.6182, 'grad_norm': 21.239303588867188, 'learning_rate': 3.4250000000000006e-05, 'ce_loss': 0.12146897614002228, 'kl_loss': 2.0722239017486572, 'epoch': 0.01}
{'loss': 10.6418, 'grad_norm': 137.56419372558594, 'learning_rate': 3.45e-05, 'ce_loss': 0.15832620859146118, 'kl_loss': 3.1722562313079834, 'epoch': 0.01}
{'loss': 9.903, 'grad_norm': 69.3446273803711, 'learning_rate': 3.475e-05, 'ce_loss': 0.12610547244548798, 'kl_loss': 1.9264665842056274, 'epoch': 0.01}
{'loss': 10.4864, 'grad_norm': 270.0762939453125, 'learning_rate': 3.5e-05, 'ce_loss': 0.09420976042747498, 'kl_loss': 1.8379966020584106, 'epoch': 0.01}
{'loss': 9.8281, 'grad_norm': 319.7436828613281, 'learning_rate': 3.525e-05, 'ce_loss': 0.12222033739089966, 'kl_loss': 2.1226489543914795, 'epoch': 0.01}
